nombre,mandato,distrito,partido,acta,clausura,anulado,desafuero,fallece,otros,reemplazo,renuncia,reemplazo,no incorporo,vacante
"ARBELETCHE, ANIBAL P.",1936-1940,Capital Federal,UNION CIVICA RADICAL,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial;,,,,,,,,,,
"ARBO, JOSE AMEGUINO",2007-2011,Corrientes,FRENTE DE TODOS (ACCION POR LA REPUBLICA - PARTIDO LIBERAL - PARTIDO POPULAR - PARTIDO DE TODOS - PARTIDO AUTONOMISTA),,,,,,,,,,,
"ARBO, TOMAS A.",1973-1977,Corrientes,PACTO AUTONOMISTA LIBERAL,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,,,,Falleció el 30/05/1975,,,,,,
"ARCE, JOSE",1934-1938,Buenos Aires,DEMOCRATA NACIONAL,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,,,,,,,,,,
"ARCE, JOSE",1916-1920,Buenos Aires,PARTIDO CONSERVADOR,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial;,,,,,,,,,,
"ARCE, JOSE",1924-1928,Buenos Aires,PARTIDO CONSERVADOR,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial;,,,,,,,,,,
"ARCE, JOSE",1913-1916,Buenos Aires,PARTIDO CONSERVADOR,"Proyecto de decreto de una comisión especial o de la Comisión de Peticiones, Poderes y Reglamento Nota girada a esta Cámara por el Poder Ejecutivo Nacional por la cual informa que tomó conocimiento de la elección Acta judicial del resultado electora",,,,,,,,,,
"ARCE, RODOLFO J.",1973-1977,Buenos Aires,FRENTE JUSTICIALISTA DE LIBERACION,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,Clausura del Poder Legislativo en el período 1976/1983 (VIDELA-VIOLA-GALTIERI-BIGNONE),,,,,,,,,
"ARCE, RODOLFO J.",1962-1966,Buenos Aires,UNION POPULAR,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial;,Disolución del Poder Legislativo en el período 1962/1963 por Decreto del PEN 9204/62 (Guido) que impuso la reorganización de los partidos políticos;,Comicio anulado 25/04/1962,,,,,,,,
"ARCIENAGA, NORMANDO",1987-1991,Salta,PARTIDO JUSTICIALISTA,,,,,,,,,,,
"ARDID, MARIO ROLANDO",2007-2009,Córdoba,"PARTIDO NUEVO CONTRA LA CORRUPCION, POR LA HONESTIDAD Y LA TRANSPARENCIA",,,,,,,,,,,
"ARENA, CELIA ISABEL",2009-2013,Santa Fe,ALIANZA SANTA FE FEDERAL,,,,,,,,,,,
"ARETA, MARIA JOSEFA",2007-2011,Corrientes,FRENTE DE TODOS (ACCION POR LA REPUBLICA - PARTIDO LIBERAL - - PARTIDO POPULAR - PARTIDO DE TODOS - PARTIDO AUTONOMISTA),,,,,,,,,,,
"AREVALO CABEZA, JABEL",1946-1950,San Juan,LABORISTA U.C.R. JUNTA NACIONAL REORGANIZADORA,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,,,,Falleció el 28/10/1947,,,,,,
"ARGAÑA, JOSE MARIA",1948-1952,Capital Federal,PARTIDO PERONISTA,,,,,,,,,,,
"ARGAÑA, JOSE MARIA",1955-1961,Capital Federal,PARTIDO PERONISTA,,Clausura del Poder Legislativo en el período 1955/1958 (LONARDI-ARAMBURU);,,,,,,,,,
"ARGAÑA, JOSE MARIA",1962-1966,Capital Federal,UNION POPULAR,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,Disolución del Poder Legislativo en el período 1962/1963 por Decreto del PEN 9204/62 (Guido) que impuso la reorganización de los partidos políticos,Comicio anulado 25/04/1962,,,,,,,,
"ARGAÑA, JOSE MARIA",1952-1955,Capital Federal,PARTIDO PERONISTA,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial;,Clausura del Poder Legislativo en el período 1955/1958 (LONARDI-ARAMBURU);,,,,,,,,,
"ARGAÑA, JOSE MARIA",1946-1948,Capital Federal,PARTIDO PERONISTA,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial;,,,,,,,,,,
"ARGAÑARAS, HERALIO ANDRES",1987-1991,Córdoba,UNION CIVICA RADICAL,,,,,,,,,,,
"ARGAÑARAS, MANUEL",1904-1908,Santiago del Estero,No consignado,"Proyecto de decreto de una comisión especial o de la Comisión de Peticiones, Poderes y Reglamento Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial Nota girada a esta Cámara por la Legislatura provincial",,,,,,,,,,
"ARGAÑARAS, MANUEL",1900-1904,Santiago del Estero,No consignado,"Proyecto de decreto de una comisión especial o de la Comisión de Peticiones, Poderes y Reglamento Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial Nota girada a esta Cámara por la Legislatura provincial;",,,,,,,,,,
"ARGAÑARAZ, RICARDO",1985-1989,Misiones,UNION CIVICA RADICAL,,,,,,,,,,,
"ARGENTO, AURELIANO",1883-1886,Santa Fe,No consignado,"Proyecto de decreto de una comisión especial o de la Comisión de Peticiones, Poderes y Reglamento Decreto de una comisión especial o de la Comisión de Peticiones, Poderes y Reglamento Acta judicial del resultado electoral o Acta de la sesión de la",,,,,,,,,,
"ARGENTO, AURELIANO",1873-1876,Santa Fe,No consignado,"Proyecto de decreto de una comisión especial o de la Comisión de Peticiones, Poderes y ReglamentoNota girada a esta Cámara por la Legislatura provincial;",,,,,,,,,,
"ARGERICH, JUAN ANTONIO",1906-1910,Buenos Aires,No consignado,Nota girada a esta Cámara por la Legislatura provincial,,,,,,,,,,
"ARGERICH, JUAN ANTONIO",1898-1902,Capital Federal,No consignado,"Proyecto de decreto de una comisión especial o de la Comisión de Peticiones, Poderes y Reglamento Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial Nota girada a esta Cámara por la Legislatura provincial;",,,,,,,,,,
"ARGERICH, JUAN ANTONIO",1902-1906,Capital Federal,No consignado,"Proyecto de decreto de una comisión especial o de la Comisión de Peticiones, Poderes y Reglamento Decreto de una comisión especial o de la Comisión de Peticiones, Poderes y Reglamento Acta judicial del resultado electoral o Acta de la sesión de la",,,,,,,,,,
"ARGERICH, MANUEL",1868-1872,Buenos Aires,No consignado,"Decreto de una comisión especial o de la Comisión de Peticiones, Poderes y Reglamento Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial",,,,,,,,,,
"ARGONZ, JOAQUIN",1932-1934,Santa Fe,UNION CIVICA RADICAL ANTIPERSONALISTA,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,,,,,,,,,,
"ARGÜELLO LENCINAS, ROSARIO",1928-1932,Córdoba,UNION CIVICA RADICAL,"Decreto de una comisión especial o de la Comisión de Peticiones, Poderes y Reglamento Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial",Clausura del Poder Legislativo en el período 1930/1932 (URIBURU),,,,,,,,,
"ARGÜELLO, JORGE MARTIN ARTURO",2003-2007,Capital Federal,PARTIDO JUSTICIALISTA,,,,,,,,,,,
"ARGÜELLO, JORGE MARTIN ARTURO",1991-1995,Capital Federal,FRENTE JUSTICIALISTA PRODUCCION Y ESTABILIDAD,,,,,,,"Reemplazado por MARTINEZ RAYMONDA, RAFAEL",,,,
"ARGÜELLO, OCTAVIO",2007-2011,Buenos Aires,FRENTE PARA LA VICTORIA,,,,,,,,,,,
"ARGUL, MARTA DEL CARMEN",1999-2003,Jujuy,ACCION POR LA REPUBLICA,,,,,,,,,,,
"ARGUMEDO DE PEDROZA, CELFA",1952-1955,Mendoza,PARTIDO PERONISTA,,,,,,,,,,,
"ARGUMEDO, ALCIRA SUSANA",2009-2013,Ciudad Autonoma de Buenos Aires,ALIANZA PROYECTO SUR,,,,,,,,,,,
"ARIANI, ADRIANO",1973-1977,Santa Cruz,FRENTE JUSTICIALISTA DE LIBERACION,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,Clausura del Poder Legislativo en el período 1976/1983 (VIDELA-VIOLA-GALTIERI-BIGNONE),,,,,,,,,
"ARIAS URIBURU, JUAN",1942-1946,Salta,DEMOCRATA NACIONAL,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,Clausura del Poder Legislativo en el período 1943/1946 (RAWSON-RAMIREZ-FARRELL),,,,,,,,,
"ARIAS URIBURU, JUAN",1938-1942,Salta,DEMOCRATA NACIONAL,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial;,,,,,,,,,,
"ARIAS, ABSALON",1912-1916,Santiago del Estero,No consignado,Nota girada a esta Cámara por el Poder Ejecutivo Nacional por la cual informa que tomó conocimiento de la elección,,,,Falleció el 20/09/1913,,"Reemplazado por HERNANDEZ, MANUEL",,,,
"ARIAS, ABSALON",1909-1912,Santiago del Estero,No consignado,"Proyecto de decreto de una comisión especial o de la Comisión de Peticiones, Poderes y Reglamento Decreto de una comisión especial o de la Comisión de Peticiones, Poderes y Reglamento Nota girada a esta Cámara por la Legislatura provincial Nota gi",,,,,,,,,,
"ARIAS, CESAR",1995-1999,Buenos Aires,FRENTE JUSTICIALISTA FEDERAL,,,,,,,,,,,
"ARIAS, CESAR",1991-1995,Buenos Aires,FRENTE JUSTICIALISTA FEDERAL,,,,,,,,,,,
"ARIAS, FELIPE R.",1887-1890,Salta,No consignado,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial Nota girada a esta Cámara por la Legislatura provincial,,,,,,,,,,
"ARIAS, FLAVIO",1890-1894,Salta,No consignado,"Proyecto de decreto de una comisión especial o de la Comisión de Peticiones, Poderes y Reglamento Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial",,,,,,,,,,
"ARIAS, JESUS PABLO",1952-1958,Capital Federal,PARTIDO PERONISTA,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,Clausura del Poder Legislativo en el período 1955/1958 (LONARDI-ARAMBURU),,,,,,,,,
"ARIAS, JOSE",1946-1948,Santa Fe,UNION CIVICA RADICAL JUNTA RENOVADORA,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,,,,,,,,,,
"ARIAS, JOSE INOCENCIO",1888-1892,Buenos Aires,No consignado,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincialNota girada a esta Cámara por la Legislatura provincial;,,,,,,,,,,
"ARIAS, JOSE INOCENCIO",1908-1912,Buenos Aires,No consignado,"Decreto de una comisión especial o de la Comisión de Peticiones, Poderes y ReglamentoActa judicial del resultado electoral o Acta de la sesión de la Legislatura provincial",,,,,,"Reemplazado por ECHAGÜE, ALFREDO",,,,
"ARIAS, JOSE MANUEL (S)",1855-1856,Salta,No consignado,,,,,,Suplente Parana,,,,,
"ARIAS, LUIS",1864-1868,Santiago del Estero,No consignado,,,,,,,,,,,
"ARIAS, LUIS OSVALDO",1965-1969,Rio Negro,UNION CIVICA RADICAL DEL PUEBLO,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,Clausura del Poder Legislativo en el peRiodo 1966/1973 (ONGANIA-LEVINGSTON-LANUSSE),,,,,,,,,
"ARIAS, LUIS OSVALDO",1963-1965,Rio Negro,UNION CIVICA RADICAL DEL PUEBLO,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial;,;,,,,,,,,,
"ARIETA, IGNACIO",1960-1964,Buenos Aires,UNION CIVICA RADICAL DEL PUEBLO,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,Disolución del Poder Legislativo en el período 1962/1963 por Decreto del PEN 9204/62 (Guido) que impuso la reorganización de los partidos políticos,,,,,,,,,
"ARIGOS, JUAN",1882-1886,Entre Ríos,No consignado,,,,,,,,,,,
"ARIGOS, RAMON E.",1973-1977,Entre Ríos,UNION CIVICA RADICAL,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,Clausura del Poder Legislativo en el período 1976/1983 (VIDELA-VIOLA-GALTIERI-BIGNONE),,,,,,,,,
"ARITO, JUAN",1960-1964,San Luis,UNION CIVICA RADICAL INTRANSIGENTE,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,Disolución del Poder Legislativo en el período 1962/1963 por Decreto del PEN 9204/62 (Guido) que impuso la reorganización de los partidos políticos,,,,,,,,,
"ARITO, JUAN",1958-1960,San Luis,UNION CIVICA RADICAL INTRANSIGENTE,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial;,,,,,,,,,,
"ARIZAGA, DOMINGO A.",1930-1934,Capital Federal,PARTIDO SOCIALISTA INDEPENDIENTE,"Proyecto de decreto de una comisión especial o de la Comisión de Peticiones, Poderes y ReglamentoActa judicial del resultado electoral o Acta de la sesión de la Legislatura Provincial",,,,Falleció el 12/08/1930,,,,,,
"ARMAGNAGUE, JUAN FERNANDO",1987-1991,Mendoza,UNION CIVICA RADICAL,,,,,,,,,,,
"ARMENDARIZ, ALEJANDRO",1991-1995,Buenos Aires,UNION CIVICA RADICAL,,,,,,,,,,,
"ARMENDARIZ, ALEJANDRO",1958-1962,Buenos Aires,UNION CIVICA RADICAL DEL PUEBLO,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,,,,,,,,,,
"ARMESTO, ALBERTO",1965-1969,Buenos Aires,UNION POPULAR,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,Clausura del Poder Legislativo en el período 1966/1973 (ONGANIA-LEVINGSTON-LANUSSE),,,,,,,,,
"ARNALDI, MONICA SUSANA",1999-2003,Buenos Aires,ALIANZA CONCERTACION JUSTICIALISTA PARA EL CAMBIO,,,,,,,,,,,
"ARNEDO, RODOLFO",1920-1924,Santiago del Estero,UNION DEMOCRATICA,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,,,,,,,,,,
"ARNOLD, EDUARDO A.",2003-2007,Santa Cruz,PARTIDO JUSTICIALISTA,,,,,,,,,,,
"ARNOLDI, ADOLFO",1934-1938,Buenos Aires,PARTIDO SOCIALISTA,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,,,,,,,,,,
"ARRAGA, ANTONIO",1912-1916,Capital Federal,No consignado,"Decreto de una comisión especial o de la Comisión de Peticiones, Poderes y ReglamentoActa judicial del resultado electoral o Acta de la sesión de la Legislatura provincial",,,,,,,,,,
"ARRASCAETA, FELIX ALBERTO DE",1963-1967,La Rioja,UNION CIVICA RADICAL DEL PUEBLO,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,Clausura del Poder Legislativo en el período 1966/1973 (ONGANIA-LEVINGSTON-LANUSSE),,,,,,,,,
"ARRAYA, JORGE FRANCISCO",1973-1977,Córdoba,UNION CIVICA RADICAL,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,Clausura del Poder Legislativo en el período 1976/1983 (VIDELA-VIOLA-GALTIERI-BIGNONE),,,,,,,,,
"ARRECHEA, JOSE SALVADOR",1991-1995,Chubut,PARTIDO JUSTICIALISTA,,,,,,,,,,,
"ARRECHEA, RAMON ROSAURO",1983-1987,Misiones,PARTIDO JUSTICIALISTA,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,,,,,,,,,,
"ARREGUI, ANDRES ROBERTO",2011-2015,Buenos Aires,FRENTE PARA LA VICTORIA,,,,,,,,,,,
"ARRIAGA, JULIO",2005-2009,Rio Negro,FRENTE PARA LA VICTORIA - PARTIDO JUSTICIALISTA,,,,,,,,,,,
"ARRIETA, HERMINIO",1934-1938,Jujuy,PARTIDO POPULAR,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,,,,,,,,,,
"ARROYABE, VICENTE",1930-1934,Jujuy,UNION CIVICA RADICAL,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,Clausura del Poder Legislativo en el período 1930/1932 (URIBURU),,,,,,,,,
"ARROYO, RAMON FRANCISCO",1965-1969,Tucumán,UNION CIVICA RADICAL DEL PUEBLO,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,Clausura del Poder Legislativo en el período 1966/1973 (ONGANIA-LEVINGSTON-LANUSSE),,,,,,,,,
"ARROYO, RAMON FRANCISCO",1963-1965,Tucumán,UNION CIVICA RADICAL DEL PUEBLO,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial;,,,,,,,,,,
"ARRUE, WILLEBRORDO",1973-1977,Corrientes,FRENTE JUSTICIALISTA DE LIBERACION,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,Clausura del Poder Legislativo en el período 1976/1983 (VIDELA-VIOLA-GALTIERI-BIGNONE),,,,,,,,,
"ARSON, HECTOR ROBERTO",1983-1987,Capital Federal,UNION CIVICA RADICAL,,,,,,,,,,,
"ARTOLA, ISABEL A.",2003-2007,Buenos Aires,FRENTE POPULAR BONAERENSE,,,,,Falleció el 09/05/2007,,"Reemplazada por LEGUIZAMON, ANIBAL ERNESTO",,,,
"ARTUSI, AMBROSIO A.",1930-1934,Entre Ríos,UNION CIVICA RADICAL,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,Clausura del Poder Legislativo en el período 1930/1932 (URIBURU),,,,,,,,,
"ARTUSI, AMBROSIO A.",1926-1930,Entre Ríos,UNION CIVICA RADICAL,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial;,,,,,,,,,,
"ASEF, DANIEL E.",2007-2011,Córdoba,ACCION POR LA REPUBLICA,,,,,,,,,,,
"ASENCIO, LUIS A.",1983-1985,Buenos Aires,UNION CIVICA RADICAL,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,,,,,,,,,,
"ASENJO, SEGUNDO RAMON",1962-1966,Santa Fe,UNION CIVICA RADICAL INTRANSIGENTE,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,Disolución del Poder Legislativo en el período 1962/1963 por Decreto del PEN 9204/62 (Guido) que impuso la reorganización de los partidos políticos,Comicio anulado 25/04/1962,,,,,,,,
"ASMAR, RAMON",1973-1977,Neuquen,FRENTE JUSTICIALISTA DE LIBERACION,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,Clausura del Poder Legislativo en el período 1976/1983 (VIDELA-VIOLA-GALTIERI-BIGNONE),,,,,,,,,
"ASPIAZU, LUCIO BERNARDO",2009-2013,Corrientes,ALIANZA ENCUENTRO POR CORRIENTES - ACUERDO CIVICO Y SOCIAL,,,,,,,,,,,
"ASSEF, ALBERTO EMILIO",2011-2015,Buenos Aires,FRENTE PERONISTA,,,,,,,,,,,
"ASTESIANO, CARMELO I.",1936-1940,Entre Ríos,UNION CIVICA RADICAL,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,,,,,,,,,,
"ASTESIANO, CARMELO I.",1930-1934,Entre Ríos,UNION CIVICA RADICAL,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial;,Clausura del Poder Legislativo en el período 1930/1932 (URIBURU),,,,,,,,,
"ASTESIANO, CARMELO I.",1926-1930,Entre Ríos,UNION CIVICA RADICAL,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial;,,,,,,,,,,
"ASTIGUETA, JOSE M.",1880-1884,Tucumán,No consignado,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial Nota girada a esta Cámara por la Legislatura provincial,,,,,,,,,,
"ASTORGANO, JOSE",1948-1952,Capital Federal,PARTIDO PERONISTA,,,,,,,,,,,
"ASTORGANO, JOSE",1952-1955,Capital Federal,PARTIDO PERONISTA,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,,,,,,,,,,
"ASTRADA, CARLOS ALFREDO",1928-1932,Córdoba,PARTIDO DEMOCRATA,"Decreto de una comisión especial o de la Comisión de Peticiones, Poderes y Reglamento Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial",Clausura del Poder Legislativo en el período 1930/1932 (URIBURU),,,,,,,,,
"ASTRADA, JULIO",1904-1908,Córdoba,No consignado,"Proyecto de decreto de una comisión especial o de la Comisión de Peticiones, Poderes y Reglamento Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial",,,,,,,,,,
"ASTRADA, JULIO",1900-1904,Córdoba,No consignado,"Proyecto de decreto de una comisión especial o de la Comisión de Peticiones, Poderes y Reglamento Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial Nota girada a esta Cámara por la Legislatura provincial;",,,,,,,,,,
"ASTRADA, MANUEL J.",1920-1924,Córdoba,DEMOCRATA PROGRESISTA,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,,,,,,,,,,
"ASTRADA, MANUEL J.",1896-1900,Córdoba,No consignado,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial Nota girada a esta Cámara por la Legislatura provincial Nota girada a esta Cámara por el Poder Ejecutivo Nacional por la cual informa que tomó conocimiento de l,,,,,,,,,,
"ASTUDILLO, EULALIO",1904-1908,San Luis,No consignado,"Proyecto de decreto de una comisión especial o de la Comisión de Peticiones, Poderes y Reglamento Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial Nota girada a esta Cámara por la Legislatura provincial",,,,,,,,,,
"ATAIDE, JOSE MISAEL",1962-1966,Santiago del Estero,MOVIMIENTO RADICAL POPULAR,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,Disolución del Poder Legislativo en el período 1962/1963 por Decreto del PEN 9204/62 (Guido) que impuso la reorganización de los partidos políticos,Comicio anulado 25/04/1962,,,,,,,,
"ATALA, LUIS",1948-1950,Córdoba,PARTIDO PERONISTA,,,,,,Mandato prorrogado hasta 30/04/1952,,,,,
"ATALA, LUIS",1952-1955,Córdoba,PARTIDO PERONISTA,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,Clausura del Poder Legislativo en el período 1955/1958 (LONARDI-ARAMBURU),,,,,,,,,
"ATANASOF, ALFREDO NESTOR",1999-2003,Buenos Aires,ALIANZA CONCERTACION JUSTICIALISTA PARA EL CAMBIO,,,,,,,"Reemplazado por GOMEZ, RICARDO CARMELO",,,,
"ATANASOF, ALFREDO NESTOR",2009-2013,Buenos Aires,ALIANZA UNION PRO,,,,,,,,,,,
"ATANASOF, ALFREDO NESTOR",2003-2007,Buenos Aires,PARTIDO JUSTICIALISTA,,,,,,,,,,,
"ATANASOF, ALFREDO NESTOR",1995-1999,Buenos Aires,FRENTE JUSTICIALISTA FEDERAL,,,,,,,,,,,
"ATENCIO, JUAN J.",1912-1916,Buenos Aires,UNION CIVICA RADICAL,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial Nota girada a esta Cámara por la Legislatura provincial,,,,,,,,,,
"ATENCIO, JUAN N.",1916-1920,Entre Ríos,No consignado,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,,,,,,,,,,
"AUAD, OSCAR SAID",1991-1995,Tucumán,FUERZA REPUBLICANA,,,,,,,,,,,
"AUBIA, JORGE EDUARDO",1997-2001,Chubut,UNION CIVICA RADICAL,,,,,,,"Reemplazado por LINARES, MARIA DEL CARMEN",,,,
"AUBONE, GUILLERMO",1905-1908,San Juan,No consignado,"Proyecto de decreto de una comisión especial o de la Comisión de Peticiones, Poderes y Reglamento Decreto de una comisión especial o de la Comisión de Peticiones, Poderes y Reglamento Acta judicial del resultado electoral o Acta de la sesión de la",,,,,,,,,,
"AUGIER, MARCELINO",1864-1868,Catamarca,No consignado,"Proyecto de decreto de una comisión especial o de la Comisión de Peticiones, Poderes y Reglamento Decreto de una comisión especial o de la Comisión de Peticiones, Poderes y Reglamento Nota girada a esta Cámara por la Legislatura provincial",,,,,,,,,,
"AUGIER, MARCELINO",1863-1864,Catamarca,No consignado,"Proyecto de decreto de una comisión especial o de la Comisión de Peticiones, Poderes y Reglamento Decreto de una comisión especial o de la Comisión de Peticiones, Poderes y Reglamento Nota girada a esta Cámara por la Legislatura provincial Nota gi",,,,,,,,,,
"AUGIER, ULADISLAO",1886-1890,Catamarca,No consignado,"Proyecto de decreto de una comisión especial o de la Comisión de Peticiones, Poderes y Reglamento Decreto de una comisión especial o de la Comisión de Peticiones, Poderes y Reglamento Acta judicial del resultado electoral o Acta de la sesión de la",,,,,,,,,,
"AUGSBURGER, SILVIA",2005-2009,Santa Fe,"FRENTE PROGRESISTA, CIVICO Y SOCIAL - PARTIDO SOCIALISTA",,,,,,,,,,,
"AUSTERLITZ, FEDERICO",1983-1987,Tucumán,PARTIDO JUSTICIALISTA,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,,,,,,,,,,
"AUYERO, CARLOS ALBERTO",1985-1989,Buenos Aires,FRENTE JUSTICIALISTA RENOVADOR (DEMOCRATA CRISTIANO),,,,,,,,,,,
"AUYERO, CARLOS ALBERTO",1973-1977,Buenos Aires,FRENTE JUSTICIALISTA DE LIBERACION,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,Clausura del Poder Legislativo en el período 1976/1983 (VIDELA-VIOLA-GALTIERI-BIGNONE),,,,,,,,,
"AVALOS, ANGEL F.",1894-1896,Córdoba,No consignado,"Proyecto de decreto de una comisión especial o de la Comisión de Peticiones, Poderes y Reglamento Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial Nota girada a esta Cámara por la Legislatura provincial",,,,,,,,,,
"AVALOS, IGNACIO JOAQUIN",1985-1989,Catamarca,MOVIMIENTO POPULAR CATAMARQUEÑO,,,,,,,,,,,
"AVELIN DE GINESTAR, NANCY BARBARITA",1997-2001,San Juan,UNION CIVICA RADICAL- ALIANZA OPOSITORA CRUZ RENOVADORA,,,,,,,"Reemplazada por VARESE, LUIS SEGUNDO",,,,
"AVELIN, ALFREDO",1989-1993,San Juan,ALIANZA CRUZADA RENOVADORA,,,,,,,"Reemplazado por GARGIULO, PABLO",,,,
"AVELLANEDA, EUDORO",1886-1890,Tucumán,No consignado,,,,,,,,,,,
"AVELLANEDA, FELIX",1898-1902,Catamarca,No consignado,"Proyecto de decreto de una comisión especial o de la Comisión de Peticiones, Poderes y Reglamento Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial Nota girada a esta Cámara por la Legislatura provincial",,,,,,,,,,
"AVELLANEDA, LIDORO J.",1896-1900,La Rioja,No consignado,"Proyecto de decreto de una comisión especial o de la Comisión de Peticiones, Poderes y ReglamentoActa judicial del resultado electoral o Acta de la sesión de la Legislatura provincialNota girada a esta Cámara por la Legislatura provincial Nota girada a es",,,,,,"Reemplazado por LAINEZ, BERNABE",,,,
"AVELLANEDA, MARCO",1894-1898,Tucumán,No consignado,,,,,,,,,,,
"AVELLANEDA, MARCO",1876-1880,Tucumán,No consignado,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial Nota girada a esta Cámara por la Legislatura provincial Nota girada a esta Cámara por el Poder Ejecutivo Nacional por la cual informa que tomó conocimiento de l,,,,,,,,,,
"AVELLANEDA, MARCO",1880-1884,Tucumán,No consignado,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial Nota girada a esta Cámara por la Legislatura provincial;,,,,,,,,,,
"AVELLANEDA, MARCO",1898-1902,Tucumán,No consignado,"Proyecto de decreto de una comisión especial o de la Comisión de Peticiones, Poderes y Reglamento Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincialNota girada a esta Cámara por la Legislatura provincial",,,,,,,,,,
"AVELLANEDA, MARCO",1870-1874,Tucumán,No consignado,"Proyecto de decreto de una comisión especial o de la Comisión de Peticiones, Poderes y Reglamento Decreto de una comisión especial o de la Comisión de Peticiones, Poderes y Reglamento Nota girada a esta Cámara por el Poder Ejecutivo Nacional por la",,,,,,,,,,
"AVELLANEDA, MARCO AURELIO",1918-1922,Buenos Aires,PARTIDO CONSERVADOR,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial,,,,,,,,,,
"AVELLANEDA, MARCO AURELIO",1910-1914,Buenos Aires,No consignado,Acta judicial del resultado electoral o Acta de la sesión de la Legislatura provincial Nota girada a esta Cámara por la Legislatura provincial;,,,,,,,,,,
