Senador,Legal Desde,Legal Hasta,Real Desde,Real Hasta,Provincia,Partido Político,Reemplazo,Observaciones
NN,26/04/1966,30/04/1975 ,26/04/1966,22/06/1966 ,JUJUY ,SIN ESPECIFICAR ,,DISOLUCION DEL PODER LEGISLATIVO EL 28 DE JUNIO DE 1966. REEMPLAZA A GUILLERMO SNOPEK (1963-1966). POR EXPIRACION DE MANDATO.  
NN,10/12/1989,09/12/1998 ,10/12/1989,09/12/1991 ,JUJUY ,JUSTICIALISTA ,"SNOPEK, GUILLERMO EUGENIO ",REEMPLAZA A ANNUAR JORGE POR EXPIRACION DE MANDATO. FALLECE EN 1992. LO REEMPLAZA GUILLERMO EUGENIO SNOPEK.  
"ABAD, ELIAS  ",22/01/1941,19/01/1950 ,15/09/1942,05/06/1943 ,CORRIENTES ,SIN ESPECIFICAR ,DISOLUCION DEL P. LEGISLATIVO ,COMPLETA EL PERIODO DE PEDRO DIAZ COLODRERO. DISOLUCION DEL PODER LEGISLATIVO EL 5 DE JUNIO DE 1943.  
"ABDALA, DEMETRIO CESAR  ",12/08/1963,30/04/1966 ,12/08/1963,30/04/1966 ,LA RIOJA ,SIN ESPECIFICAR ,VACANTE HASTA DISOLUC.P.L. ,VACANTE HASTA LA DISOLUCION DEL PODER LEGISLATIVO EL 28 DE JUNIO DE 1966.  
"ABDALA, FELIPE  ",12/08/1963,30/04/1969 ,12/08/1963,28/06/1966 ,MENDOZA ,U. C. R. DEL PUEBLO ,DISOLUCION DEL P. LEGISLATIVO ,DISOLUCION DEL PODER LEGISLATIVO EL 28 DE JUNIO DE 1966.  
"ABRAMETO, JACOBO ALBERTO ",08/08/2007,09/12/2007 ,08/08/2007,Sin Fecha ,RÍO NEGRO ,UNIÓN CÍVICA RADICAL ,"PICHETTO, MIGUEL ÁNGEL ","Sucede al Senador Falcó, fallecido el 28/07/2007  "
"ACUÑA, AURELIO SIMON  ",19/09/1941,19/01/1950 ,25/04/1942,05/06/1943 ,CATAMARCA ,DEMOCRATA NACIONAL ,DISOLUCION DEL P. LEGISLATIVO ,REEMPLAZA A FRANCISCO GALINDEZ POR EXPIRACION DE MANDATO. DISOLUCION DEL PODER LEGISLATIVO EL 5 DE JUNIO DE 1943.  
"ACUÑA, ERNESTO NICEO  ",12/08/1963,30/04/1966 ,12/08/1963,30/04/1966 ,CATAMARCA ,U. C. R. DEL PUEBLO ,"ACUÑA, ERNESTO NICEO  ",NINGUNA 
"ACUÑA, ERNESTO NICEO  ",19/05/1966,30/04/1975 ,19/05/1966,28/06/1966 ,CATAMARCA ,U. C. R. DEL PUEBLO ,DISOLUCION DEL P. LEGISLATIVO ,REELECTO. DISOLUCION DEL PODER LEGISLATIVO EL 28 DE JUNIO DE 1966.  
"ACUÑA, RAMON EDGARDO  ",12/08/1963,30/04/1972 ,12/08/1963,28/06/1966 ,CATAMARCA ,U. C. R. DEL PUEBLO ,DISOLUCION DEL P. LEGISLATIVO ,DISOLUCION DEL PODER LEGISLATIVO EL 28 DE JUNIO DE 1966.  
"AGUIAR VAZQUEZ, AMERICO ANGEL  ",11/12/1963,30/04/1972 ,11/12/1963,28/06/1966 ,SAN JUAN ,U. C. R. DEL PUEBLO ,DISOLUCION DEL P. LEGISLATIVO ,DISOLUCION DEL PODER LEGISLATIVO EL 28 DE JUNIO DE 1966.  
"AGUINAGA, CARLOS ERNESTO  ",18/05/1966,30/04/1975 ,18/05/1966,28/06/1966 ,MENDOZA ,DEMOCRATA - MENDOZA ,DISOLUCION DEL P. LEGISLATIVO ,REEMPLAZA A GONZALEZ FUNES POR EXPIRACION DE MANDATO. DISOLUCION DEL PODER LEGISLATIVO EL 28 DE JUNIO DE 1966.  
"AGUIRRE LANARI, JUAN RAMON ",12/08/1963,30/04/1972 ,12/08/1963,28/06/1966 ,CORRIENTES ,LIBERAL DE CORRIENTES ,DISOLUCION DEL P. LEGISLATIVO ,DISOLUCION DEL PODER LEGISLATIVO EL 28 DE JUNIO DE 1966.  
"AGUIRRE LANARI, JUAN RAMON ",29/11/1983,09/12/1989 ,16/12/1987,09/12/1989 ,CORRIENTES ,LIBERAL DE CORRIENTES ,"AGUIRRE LANARI, JUAN RAMON ",COMPLETA EL PERIODO DE RICARDO LECONTE.  
"AGUIRRE LANARI, JUAN RAMON ",06/12/1989,09/12/1998 ,06/12/1989,09/12/1998 ,CORRIENTES ,LIBERAL DE CORRIENTES ,"PRUYAS, TOMAS RUBEN ",REELECTO.  
"AGUIRRE, HILDA CLELIA ",10/12/2011,09/12/2017 ,10/12/2011,Sin Fecha ,LA RIOJA ,ALIANZA FRENTE POPULAR RIOJANO ,,NINGUNA 
"AGUNDEZ, JORGE ALFREDO ",29/11/1995,09/12/2001 ,29/11/1995,09/12/2001 ,SAN LUIS ,UNIÓN CÍVICA RADICAL ,"AGUNDEZ, JORGE ALFREDO ",POR LA REFORMA CONSTITUCIONAL DE 1994 ES ELEGIDO TERCER SENADOR.  
"AGUNDEZ, JORGE ALFREDO ",10/12/2001,09/12/2005 ,10/12/2001,09/12/2005 ,SAN LUIS ,UNIÓN CÍVICA RADICAL ,SENADOR EN EJERCICIO ,REELECTO.  
"ALASINO, AUGUSTO ",02/12/1992,09/12/2001 ,02/12/1992,09/12/2001 ,ENTRE RÍOS ,JUSTICIALISTA ,"BUSTI, JORGE PEDRO ",REEMPLAZA A LUIS BRASESCO POR EXPIRACION DE MANDATO.  
"ALBARIÑO, RAMON AMANCIO  ",11/06/1952,30/04/1958 ,11/06/1952,21/09/1955 ,ENTRE RÍOS ,SIN ESPECIFICAR ,DISOLUCION DEL P. LEGISLATIVO ,DISOLUCION DEL PODER LEGISLATIVO EL 21 DE SEPTIEMBRE DE 1955.  
"ALBARRACIN, ALEJANDRO  ",02/05/1889,30/04/1898 ,18/06/1896,30/04/1898 ,SAN JUAN ,SIN ESPECIFICAR ,"DONCEL, CARLOS  ",COMPLETA EL PERIODO DE CARLOS DONCEL. (1889/1898).  
"ALBARRACIN, MARTIN  ",29/04/1913,30/04/1922 ,29/04/1913,30/04/1922 ,SAN JUAN ,CONSERVADOR ,"CANTONI, ALDO  ",REEMPLAZA A JAMESON DE LA PRECILLA POR EXPIRACION DE MANDATO.  
"ALEM, LEANDRO NICEFORO  ",30/04/1883,30/04/1892 ,19/05/1891,30/04/1892 ,CIUDAD AUTÓNOMA DE BUENOS AIRES ,UNIÓN CÍVICA RADICAL ,"IGARZABAL, RAFAEL  ",SE DENOMINA CAPITAL FEDERAL A LA ACTUAL CIUDAD AUTONOMA DE BUENOS AIRES. REEMPLAZA A JULIO ARGENTINO ROCA QUE RENUNCIA EN 1890.  
"ALEM, LEANDRO NICEFORO  ",02/05/1889,30/04/1895 ,08/06/1893,08/06/1893 ,CIUDAD AUTÓNOMA DE BUENOS AIRES ,UNIÓN CÍVICA RADICAL ,"IRIGOYEN, BERNARDO DE  ",REEMPLAZA A MARIANO VARELA. APROBADO SU DIPLOMA NO SE INCORPORA POR DESAFUERO. LO REEMPLAZÓ BERNARDO DE YRIGOYEN.  
"ALFONSIN, RAÚL RICARDO ",10/12/2001,09/12/2005 ,12/12/2001,03/07/2002 ,BUENOS AIRES ,UNIÓN CÍVICA RADICAL ,"CONTI, DIANA BEATRIZ ","REEMPLAZA AL SENADOR MOREAU POR EXPIRACION DE MANDATO. RENUNCIA EL 03/07/2002, LO REEMPLAZA LA SENADORA DIANA CONTI.  "
"ALLENDE, JOSE ANTONIO  ",03/05/1973,31/03/1977 ,03/05/1973,24/03/1976 ,CÓRDOBA ,FREJULI ,DISOLUCION DEL P. LEGISLATIVO ,DISOLUCION DEL PODER LEGISLATIVO EL 24 DE MARZO DE 1976.  
"ALMENDRA, RAMON A. ",29/11/1983,09/12/1986 ,29/11/1983,09/12/1986 ,SANTA CRUZ ,JUSTICIALISTA ,"MOLINA, PEDRO E. ",LO REEMPLAZA PEDRO MOLINA.  
"ALMIRON, CARLOS HUMBERTO ",29/11/1995,09/12/2001 ,29/11/1995,16/12/1999 ,TUCUMÁN ,FUERZA REPUBLICANA ,VACANTE POR FALLECIMIENTO ,POR LA REFORMA CONSTITUCIONAL DE 1994 ES ELEGIDO TERCER SENADOR. FALLECE EL 16 DE DICIEMBRE DE 1999.  
"ALPEROVICH, JOSÉ JORGE ",10/12/2001,09/12/2003 ,10/12/2001,09/12/2003 ,TUCUMÁN ,JUSTICIALISTA ,"MIRANDA, JULIO ANTONIO ",REEMPLAZA AL SENADOR CARBONELL.  
"ALSINA, VALENTIN  ",24/05/1862,30/04/1868 ,24/05/1862,30/04/1868 ,BUENOS AIRES ,AUTONOMISTA DE BUENOS AIRES ,"ALSINA, VALENTIN  ",SE INCORPORA AL SENADO DE LA NACION.  
"ALSINA, VALENTIN  ",02/05/1868,30/04/1877 ,02/05/1868,06/09/1869 ,BUENOS AIRES ,AUTONOMISTA DE BUENOS AIRES ,"QUINTANA, MANUEL  ",REELECTO. FALLECE EN 1869. LO REEMPLAZA MANUEL QUINTANA.( 1870/1877 ).  
"ALTUNA, JUAN CARLOS ",25/11/1998,09/12/2001 ,25/11/1998,09/12/2001 ,CHUBUT ,UNIÓN CÍVICA RADICAL ,"RASO, MARTA ETHEL ",REEMPLAZA AL SENADOR CESAR MAC KARTHY POR EXPIRACION DE MANDATO.  
"ALVARADO, RAMON  ",17/10/1854,30/04/1863 ,08/06/1855,12/12/1861 ,JUJUY ,SIN ESPECIFICAR ,DISOLUCION DEL P. LEGISLATIVO ,DISOLUCION DEL CONGRESO DE PARANA EL 12 DE DICIEMBRE DE 1861.  
"ALVARADO, SERGIO F.  ",02/05/1904,30/04/1913 ,02/05/1904,01/05/1910 ,JUJUY ,SIN ESPECIFICAR ,"CARRILLO, MANUEL  ",RENUNCIA EN 1910 Y ASUME COMO GOBERNADOR DE LA PROVINCIA DE JUJUY EL 4 DE MAYO DE 1910. LO REEMPLAZA MANUEL CARRILLO.  
"ALVAREZ, ANTENOR  ",20/07/1901,30/04/1910 ,12/06/1909,30/04/1910 ,SANTIAGO DEL ESTERO ,SIN ESPECIFICAR ,"OLAECHEA Y ALCORTA, PEDRO  ",COMPLETA EL PERIODO DE DAMASO PALACIO ( 1901-1910 ).  
"ALVAREZ, FRANCISCO M.  ",02/05/1935,30/04/1944 ,31/10/1940,05/06/1943 ,CORRIENTES ,SIN ESPECIFICAR ,DISOLUCION DEL P. LEGISLATIVO ,COMPLETA EL PERIODO DE JUAN RAMON VIDAL. DISOLUCION DEL PODER LEGISLATIVO EL 5 DE JUNIO DE 1943.  
"ALVAREZ, JACINTO  ",07/05/1901,30/04/1910 ,07/05/1901,30/04/1910 ,MENDOZA ,SIN ESPECIFICAR ,"CIVIT, EMILIO  ",REEMPLAZA A OSEAS GUIÑAZU POR EXPIRACION DE MANDATO.  
"ALVAREZ, JUAN ANTONIO  ",30/04/1874,30/04/1883 ,03/07/1875,09/11/1876 ,CÓRDOBA ,SIN ESPECIFICAR ,"VELEZ, LUIS  ",REEMPLAZA A ALEJO ROMAN POR EXPIRACION DE MANDATO. FALLECE EN 1876. LO REEMPLAZA LUIS VELEZ ( 1877-1881 ) Y GREGORIO GAVIER (1881-1883 ).  
"ALVEAR, DIEGO DE  ",04/05/1882,30/04/1883 ,04/05/1882,30/04/1883 ,CIUDAD AUTÓNOMA DE BUENOS AIRES ,SIN ESPECIFICAR ,"ALVEAR, DIEGO DE  ",SE LLAMA CAPITAL FEDERAL A LA ACTUAL CIUDAD AUTONOMA DE BUENOS AIRES  
"ALVEAR, DIEGO DE  ",30/04/1883,30/04/1892 ,30/04/1883,12/05/1887 ,CIUDAD AUTÓNOMA DE BUENOS AIRES ,SIN ESPECIFICAR ,"ROCA, JULIO ARGENTINO  ",RENUNCIA EN 1887. LO REEMPLAZA JULIO A. ROCA (1888/1890 ) Y LEANDRO N. ALEM ( 1891/1892 )  
"AMADO, ELIAS TEODORO FRANCISCO  ",11/06/1952,30/04/1955 ,11/06/1952,30/04/1955 ,SAN JUAN ,SIN ESPECIFICAR ,"SORIA VEGA, ABEL SEGUNDO NICOLAS  ",REEMPLAZA AL SENADOR RINALDO VIVIANI POR EXPIRACION DE MANDATO.  
"AMELOTTI, OSVALDO  ",22/05/1946,30/04/1952 ,22/05/1946,30/04/1952 ,CÓRDOBA ,SIN ESPECIFICAR ,"RODRIGUEZ LEONARDI DE ROSALES, ELVIRA  ",NINGUNA 
"AMOEDO, JULIO A. ",29/11/1983,09/12/1992 ,29/11/1983,09/12/1992 ,CATAMARCA ,CONSERVADOR POPULAR-CATAMARCA ,"VILLARROEL, PEDRO GUILLERMO ",NINGUNA 
"ANADON, LORENZO  ",28/06/1892,30/04/1901 ,28/06/1892,30/04/1901 ,SANTA FE ,SIN ESPECIFICAR ,"PUCCIO, EUGENIO  ",REEMPLAZA A MANUEL PIZARRO POR EXPIRACION DE MANDATO.  
"ANGELOZ, EDUARDO CESAR ",03/05/1973,30/03/1977 ,03/05/1973,24/03/1976 ,CÓRDOBA ,UNIÓN CÍVICA RADICAL ,DISOLUCION DEL P. LEGISLATIVO ,DISOLUCION DEL PODER LEGISLATIVO EL 24 DE MARZO DE 1976.  
"ANGELOZ, EDUARDO CESAR ",29/11/1995,09/12/2001 ,29/11/1995,09/12/2001 ,CÓRDOBA ,UNIÓN CÍVICA RADICAL ,"HALAK, BEATRIZ SUSANA ",REEMPLAZA A JORGE CENDOYA POR EXPIRACION DE MANDATO.  
"ANGULO, RODOLFO ANTONIO  ",25/04/1952,30/04/1955 ,25/04/1952,30/04/1955 ,CATAMARCA ,SIN ESPECIFICAR ,"BRUNELLO, DUILIO ANTONIO RAFAEL  ",REEMPLAZA A JULIO HERRERA (1946-1949) POR EXPIRACION DE MANDATO. LA BANCA NO SE OCUPA HASTA 1952.  
"ANTILLE, ARMANDO G.  ",26/06/1922,30/04/1931 ,14/08/1924,06/09/1930 ,SANTA FE ,SIN ESPECIFICAR ,DISOLUCION DEL P. LEGISLATIVO ,REEMPLAZA A JUAN BULLO. DISOLUCION DEL PODER LEGISLATIVO EL 6 DE SEPTIEMBRE DE 1930.  
"ANTILLE, ARMANDO G.  ",22/05/1946,30/04/1952 ,22/05/1946,30/04/1952 ,SANTA FE ,SIN ESPECIFICAR ,"CASTAÑEIRA DE VACCARO, HILDA NELIDA  ",NINGUNA 
"ANTINUCCI, ATILIO  ",11/06/1952,30/04/1958 ,11/06/1952,21/09/1955 ,CÓRDOBA ,SIN ESPECIFICAR ,DISOLUCION DEL P. LEGISLATIVO ,REEMPLAZA A GOMEZ DEL JUNCO POR EXPIRACION DE MANDATO. DISOLUCION DEL PODER LEGISLATIVO EL 21 DE SEPTIEMBRE DE 1955.  
"APARICIO, CASTULO  ",06/05/1895,30/04/1904 ,06/05/1895,30/04/1904 ,JUJUY ,SIN ESPECIFICAR ,"ALVARADO, SERGIO F.  ",REEMPLAZA A EUGENIO TELLO POR EXPIRACION DE MANDATO.  
"ARANA, TOMAS PEDRO  ",31/03/1958,30/04/1967 ,31/03/1958,06/09/1962 ,BUENOS AIRES ,UNIÓN CÍVICA RADICAL ,DISOLUCION DEL P. LEGISLATIVO ,DISOLUCION DEL PODER LEGISLATIVO EL 6 DE SEPTIEMBRE DE 1962.  
"ARANCIBIA RODRIGUEZ, ALBERTO  ",20/01/1932,30/04/1935 ,20/01/1932,30/04/1935 ,SAN LUIS ,DEMOCRATA NACIONAL ,"ARANCIBIA RODRIGUEZ, ALBERTO  ",NINGUNA 
"ARANCIBIA RODRIGUEZ, ALBERTO  ",02/05/1935,30/04/1944 ,02/05/1935,05/06/1943 ,SAN LUIS ,DEMOCRATA NACIONAL ,DISOLUCION DEL P. LEGISLATIVO ,REELECTO. DISOLUCION DEL PODER LEGISLATIVO EL 5 DE JUNIO DE 1943.  
"ARANCIO de BELLER, LYLIA MÓNICA ",10/12/2001,09/12/2005 ,10/12/2001,09/12/2005 ,JUJUY ,UNIÓN CÍVICA RADICAL ,SENADORA EN EJERCICIO ,REEMPLAZA AL SENADOR CABANA.  
"ARAOZ, DANIEL  ",02/05/1868,30/04/1877 ,02/05/1868,08/12/1874 ,JUJUY ,SIN ESPECIFICAR ,"BARCENA, JOSE BENITO  ",FALLECE EN 1874. LO REEMPLAZA JOSE BENITO BARCENA.  
"ARAUJO, RAMON A. ",29/11/1983,09/12/1992 ,29/11/1983,04/06/1985 ,TUCUMÁN ,JUSTICIALISTA ,"JIMENEZ MONTILLA, ARTURO I. ",FALLECE EN 1985. LO REEMPLAZA ARTURO GIMENEZ MONTILLA.  
"ARENAS, MARIO  ",20/01/1932,19/01/1941 ,20/01/1932,19/01/1941 ,MENDOZA ,DEMOCRATA NACIONAL ,"GUEVARA CIVIT, ARMANDO J.  ",NINGUNA 
"ARGENTO, AURELIANO  ",20/06/1874,30/04/1883 ,18/05/1876,05/04/1883 ,SANTA FE ,SIN ESPECIFICAR ,"IRIONDO, SIMON DE  ",COMPLETA EL PERIODO DE SIMON DE IRIONDO (1874/1883).  
"ARIAS, FERNANDO  ",12/05/1857,30/04/1866 ,12/05/1857,12/12/1861 ,SALTA ,SIN ESPECIFICAR ,DISOLUCION DEL P. LEGISLATIVO ,DISOLUCION DEL CONGRESO DE PARANA EL 12 DE DICIEMBRE DE 1861.  
"ARIAS, JOSE MANUEL  ",24/05/1860,30/04/1863 ,24/05/1860,12/12/1861 ,SALTA ,SIN ESPECIFICAR ,ES SENADOR SUPLENTE ,SUPLENTE. ACTUA EN 1860. DISOLUCION DEL CONGRESO DE PARANA EL 12/12/1861.  
"ARIAS, JOSE MANUEL  ",10/07/1862,30/04/1871 ,13/05/1869,30/04/1871 ,SALTA ,SIN ESPECIFICAR ,"ARIAS, JOSE MANUEL  ",COMPLETA EL PERIODO DE ANSELMO ROJO ( 1862-1871 ).  
"ARIAS, JOSE MANUEL  ",01/07/1871,30/04/1880 ,01/07/1871,30/04/1880 ,SALTA ,SIN ESPECIFICAR ,"LEGUIZAMON, JUAN M.  ",REELECTO.  
"ARIAS, TOMAS  ",12/05/1857,30/04/1866 ,09/06/1857,12/12/1861 ,SALTA ,SIN ESPECIFICAR ,DISOLUCION DEL P. LEGISLATIVO ,DISOLUCION DEL CONGRESO DE PARANA EL 12 DE DICIEMBRE DE 1861.  
"ARNOLD, EDUARDO ARIEL ",09/12/1998,09/12/2001 ,09/12/1998,09/12/2001 ,SANTA CRUZ ,JUSTICIALISTA ,"FERNÁNDEZ DE KIRCHNER, CRISTINA E. ",REEMPLAZA A FELIPE LUDUEÑA POR EXPIRACION DE MANDATO.  
"ARRIETA, ALFREDO J. L.  ",03/07/1946,30/04/1952 ,03/07/1946,12/06/1950 ,BUENOS AIRES ,SIN ESPECIFICAR ,VACANTE HASTA FIN DEL PERIODO ,FALLECE EL 12 DE JUNIO DE 1950. LO REEMPLAZA EN EL AÑO 1952 LA SRA. ILDA PINEDA DE MOLINS.  
"ARRIETA, HERMINIO  ",02/05/1938,30/04/1947 ,02/05/1938,05/06/1943 ,JUJUY ,DEMOCRATA NACIONAL ,DISOLUCION DEL P. LEGISLATIVO ,REEMPLAZA A RUDECINDO CAMPOS POR EXPIRACIÓN DE MANDATO. DISOLUCION DEL PODER LEGISLATIVO EL 5 DE JUNIO DE 1943.  
"ARTAZA, EUGENIO JUSTINIANO ",10/12/2009,09/12/2015 ,10/12/2009,Sin Fecha ,CORRIENTES ,ENCUENTRO POR CORRIENTES (A.C. Y S.) ,,NINGUNA 
"ASTUDILLO, FELIX EDUARDO  ",12/08/1963,30/04/1969 ,12/08/1963,28/06/1966 ,SANTA FE ,U. C. R. INTRANSIGENTE ,DISOLUCION DEL P. LEGISLATIVO ,DISOLUCION DEL PODER LEGISLATIVO EL 28 DE JUNIO DE 1966.  
"AVALOS, PEDRO ISAAC  ",03/05/1973,30/03/1977 ,03/05/1973,24/03/1976 ,MISIONES ,FREJULI ,DISOLUCION DEL P. LEGISLATIVO ,DISOLUCION DEL PODER LEGISLATIVO EL 24 DE MARZO DE 1976. PERTENECE AL PARTIDO JUSTICIALISTA QUE ES PARTE DEL FREJULI.  
"AVELIN DE GINESTAR, NANCY ",10/12/2001,09/12/2005 ,10/12/2001,09/12/2005 ,SAN JUAN ,CRUZADA RENOVADORA DE SAN JUAN ,SENADORA EN EJERCICIO ,REEMPLAZA AL SENADOR GIOJA.  
"AVELIN, ALFREDO ",02/12/1992,09/12/2001 ,02/12/1992,10/12/1999 ,SAN JUAN ,CRUZADA RENOVADORA DE SAN JUAN ,"LOZA, JUAN CARLOS ",REEMPLAZA A POSLEMAN POR EXPIRACION DE MANDATO.RENUNCIA PARA SER GOBERNADOR DE SAN JUAN.  
"AVELLANEDA, LIDORO J.  ",02/05/1898,30/04/1907 ,02/05/1898,30/04/1907 ,LA RIOJA ,SIN ESPECIFICAR ,"CARREÑO, LEONIDAS  ",REEMPLAZA A DE LA FUENTE POR EXPIRACION DE MANDATO.  
"AVELLANEDA, MARCO  ",29/04/1910,30/04/1919 ,29/04/1910,09/01/1911 ,CIUDAD AUTÓNOMA DE BUENOS AIRES ,SIN ESPECIFICAR ,"CROTTO, JOSE CAMILO  ",SE DENOMINA CAPITAL FEDERAL A LA ACTUAL CIUDAD AUTONOMA DE BUENOS AIRES. FALLECE EL 9 DE ENERO DE 1911. LO REEMPLAZA JOSE CAMILO CROTTO ( 1912/1918 ).  
"AVELLANEDA, NICOLAS  ",12/05/1874,30/04/1883 ,12/05/1874,12/10/1874 ,TUCUMÁN ,SIN ESPECIFICAR ,"FRIAS, ULADISLAO  ",RENUNCIA EN 1874 PARA SER PRESIDENTE DE LA NACION. LO REEMPLAZA ULADISLAO FRIAS Y MAS TARDE TIBURCIO PADILLA.  
"AVELLANEDA, NICOLAS  ",03/05/1877,30/04/1886 ,30/04/1883,30/04/1886 ,TUCUMÁN ,SIN ESPECIFICAR ,"PAZ, BENJAMIN  ",COMPLETA EL PERIODO DE BENJAMIN PAZ. LO REEMPLAZA BENJAMIN PAZ.  
"AVENDAÑO, ARCADIO B.  ",22/05/1946,30/04/1952 ,22/05/1946,30/04/1952 ,SANTIAGO DEL ESTERO ,SIN ESPECIFICAR ,"JUAREZ, CARLOS ARTURO ",NINGUNA 
"AYBAR AUGIER, ALBERTO  ",30/04/1919,30/04/1928 ,12/04/1921,30/04/1928 ,TUCUMÁN ,SIN ESPECIFICAR ,"GUZMAN, ALFREDO  ",REEMPLAZA A BRIGIDO TERAN POR EXPIRACION DE MANDATO.  
"AZAR, MOISES  ",28/04/1961,30/04/1970 ,28/04/1961,06/09/1962 ,FORMOSA ,SIN ESPECIFICAR ,DISOLUCION DEL P. LEGISLATIVO ,REEMPLAZA A JUAN LUIS DIAZ POR EXPIRACION DE MANDATO. DISOLUCION DEL PODER LEGISLATIVO EL 6 DE SEPTIEMBRE DE 1962.  
"BAGLINI, RAÚL EDUARDO ",10/12/2001,09/12/2003 ,10/12/2001,Sin Fecha ,MENDOZA ,UNIÓN CÍVICA RADICAL ,"SANZ, ERNESTO RICARDO ",REEMPLAZA AL SENADOR GENOUD POR EXPIRACION DE MANDATO.  
"BAIBIENE, SANTIAGO  ",04/06/1880,30/04/1889 ,04/06/1880,30/04/1889 ,CORRIENTES ,SIN ESPECIFICAR ,"VIDAL, JUAN RAMON  ",REEMPLAZA A JUAN TORRENT POR EXPIRACION DE MANDATO.  
"BALTORE, JOSE R.  ",30/05/1880,30/04/1889 ,30/05/1880,30/04/1889 ,ENTRE RÍOS ,SIN ESPECIFICAR ,"HERNANDEZ, SABA Z.  ",REEMPLAZA A TEOFILO GARCIA POR EXPIRACION DE MANDATO.  
"BANICEVICH, JORGE ESTEBAN ",13/05/2009,09/12/2011 ,13/05/2009,09/12/2011 ,SANTA CRUZ ,FRENTE PARA LA VICTORIA ,SENADOR EN EJERCICIO ,NINGUNA 
"BAR, GRACIELA YOLANDA ",10/12/2001,09/12/2007 ,10/12/2001,Sin Fecha ,ENTRE RÍOS ,JUSTICIALISTA ,"OSUNA, BLANCA INES ",REEMPLAZA AL SENADOR MAYA POR EXPIRACION DE MANDATO.  
"BARBEITO, JUAN A.  ",23/05/1892,30/04/1901 ,23/05/1892,30/04/1901 ,SAN LUIS ,SIN ESPECIFICAR ,"QUIROGA, LINDOR L.  ",REEMPLAZA A TORIBIO MENDOZA POR EXPIRACION DE MANDATO.  
"BARBICH, ADOLFO ALEJANDRO  ",12/08/1963,30/04/1972 ,12/08/1963,28/06/1966 ,SANTA CRUZ ,U. C. R. DEL PUEBLO ,DISOLUCION DEL P. LEGISLATIVO ,DISOLUCION DEL PODER LEGISLATIVO EL 28 DE JUNIO DE 1966.  
"BARBORA DE NASIF, YAMILI  ",03/05/1973,30/04/1977 ,03/05/1973,24/03/1976 ,SANTA FE ,FREJULI ,DISOLUCION DEL P. LEGISLATIVO ,DISOLUCION DEL PODER LEGISLATIVO EL 24 DE MARZO DE 1976.  
"BARCELO, ALBERTO  ",19/01/1941,19/01/1950 ,28/04/1942,05/06/1943 ,BUENOS AIRES ,CONSERVADOR ,DISOLUCION DEL P. LEGISLATIVO ,DISOLUCION DEL PODER LEGISLATIVO EL 5 DE JUNIO DE 1943.  
"BARCENA, JOSE BENITO  ",17/10/1854,30/04/1863 ,17/10/1854,22/09/1859 ,JUJUY ,SIN ESPECIFICAR ,"SANCHEZ DE BUSTAMANTE, PLACIDO  ",RENUNCIA EN 1859. LO REEMPLAZA PLACIDO SANCHEZ DE BUSTAMANTE.  
"BARCENA, JOSE BENITO  ",24/05/1862,30/04/1868 ,02/06/1863,30/04/1868 ,JUJUY ,SIN ESPECIFICAR ,"ARAOZ, DANIEL  ",NINGUNA 
"BARCENA, JOSE BENITO  ",02/05/1868,30/04/1877 ,15/05/1875,30/04/1877 ,JUJUY ,SIN ESPECIFICAR ,"BARCENA, JOSE BENITO  ",COMPLETA EL PERIODO DE DANIEL ARAOZ QUE FALLECE.  
"BARCENA, JOSE BENITO  ",07/06/1877,30/04/1886 ,07/06/1877,30/04/1886 ,JUJUY ,SIN ESPECIFICAR ,"PEREZ, DOMINGO TEOFILO  ",REELECTO.  
"BARCO, GERONIMO DEL  ",19/08/1862,30/04/1868 ,18/06/1864,30/04/1868 ,SANTA FE ,SIN ESPECIFICAR ,"OROÑO, NICASIO  ",COMPLETA EL PERIODO DE LUCAS GONZALEZ.  
"BARONI, DANILO LUIS  ",03/05/1973,30/03/1977 ,03/05/1973,24/03/1976 ,CHACO ,FREJULI ,DISOLUCION DEL P. LEGISLATIVO ,DISOLUCION DEL PODER LEGISLATIVO EL 24 DE MARZO DE 1976.  
"BARRA, FEDERICO DE LA  ",17/10/1854,30/04/1857 ,18/07/1856,30/04/1857 ,SAN JUAN ,SIN ESPECIFICAR ,ES SENADOR SUPLENTE ,SUPLENTE.  
"BARRA, FEDERICO DE LA  ",11/05/1860,30/04/1869 ,19/05/1860,12/12/1861 ,SAN JUAN ,SIN ESPECIFICAR ,DISOLUCION DEL P. LEGISLATIVO ,TITULAR. DISOLUCION DEL CONGRESO DE PARANA EL 12 DE DICIEMBRE DE 1861.  
"BARRAZA, PEDRO S.  ",06/05/1895,30/04/1904 ,06/05/1895,29/10/1901 ,SANTIAGO DEL ESTERO ,SIN ESPECIFICAR ,"SANTILLAN, JOSE DOMINGO  ",REEMPLAZA A PEDRO GARCIA POR EXPIRACION DE MANDATO. RENUNCIA EN 1901 PARA SER GOBERNADOR DE LA PROVINCIA DE SANTIAGO DEL ESTERO. LO REEMPLAZA JOSE DOMINGO SANTILLAN.  
"BARRIONUEVO, JOSÉ LUIS ",10/12/2001,09/12/2003 ,10/12/2001,Sin Fecha ,CATAMARCA ,JUSTICIALISTA ,"SAADI, RAMÓN EDUARDO ",NINGUNA 
