Senador,Legal Desde,Legal Hasta,Real Desde,Real Hasta,Provincia,Partido Político,Reemplazo,Observaciones
"MAZA, ADA MERCEDES ",10/12/2001,09/12/2005 ,10/12/2001,09/12/2005 ,LA RIOJA ,JUSTICIALISTA ,"MAZA, ADA MERCEDES ",REEMPLAZA AL SENADOR YOMA POR EXPIRACION DE MANDATO.  
"MAZA, ADA MERCEDES ",10/12/2005,09/12/2011 ,10/12/2005,Sin Fecha ,LA RIOJA ,PARTIDO DE LA VICTORIA ,SENADORA EN EJERCICIO ,NINGUNA 
"MAZZUCCO, FAUSTINO M. ",29/11/1983,09/12/1986 ,29/11/1983,09/12/1986 ,RÍO NEGRO ,UNIÓN CÍVICA RADICAL ,"MAZZUCCO, FAUSTINO M. ",NINGUNA 
"MAZZUCCO, FAUSTINO M. ",28/11/1986,09/12/1995 ,28/11/1986,09/12/1995 ,RÍO NEGRO ,UNIÓN CÍVICA RADICAL ,"GAGLIARDI, EDGARDO JOSE ",REELECTO. LO REEMPLAZA EDGARDO GAGLIARDI POR EXPIRACION DE MANDATO.  
"MEABE, JOSEFINA ANGELICA ",10/12/2009,09/12/2015 ,10/12/2009,Sin Fecha ,CORRIENTES ,ALIANZA FRENTE DE TODOS ,,NINGUNA 
"MELANI, FRANCISCO JOSE  ",31/03/1958,30/04/1964 ,31/03/1958,28/07/1960 ,CÓRDOBA ,SIN ESPECIFICAR ,VACANTE HASTA DISOLUC.P.L. ,RENUNCIA EN 1960. BANCA QUEDA VACANTE HASTA LA DISOLUCION DEL PODER LEGISLATIVO EL 6 DE SEPTIEMBRE DE 1962.  
"MELGAREJO, JUAN IGNACIO ",29/11/1995,09/12/2001 ,29/11/1995,29/11/2000 ,SANTA CRUZ ,UNIÓN CÍVICA RADICAL ,"MARTINEZ PELAEZ, NELIDA SUSANA ",POR LA REFORMA DE LA CONSTITUCION EN EL AÑO 1994 ES ELEGIDO TERCER SENADOR. RENUNCIA  
"MELO, LEOPOLDO  ",01/05/1916,30/04/1925 ,05/06/1917,30/04/1925 ,ENTRE RÍOS ,UNIÓN CÍVICA RADICAL ,"MELO, LEOPOLDO  ",REEMPLAZA A SALVADOR MACIA POR EXPIRACION DE MANDATO.  
"MELO, LEOPOLDO  ",28/04/1925,30/04/1934 ,28/04/1925,06/09/1930 ,ENTRE RÍOS ,UNIÓN CÍVICA RADICAL ,DISOLUCION DEL P. LEGISLATIVO ,REELECTO. DISOLUCION DEL PODER LEGISLATIVO EL 6 DE SEPTIEMBRE DE 1930.  
"MENDAÑA, PEDRO  ",01/06/1966,30/04/1975 ,01/06/1966,28/06/1966 ,NEUQUÉN ,SIN ESPECIFICAR ,DISOLUCION DEL P. LEGISLATIVO ,REEMPLAZA A FRANCISCO CAPRARO POR EXPIRACION DE MANDATO. DISOLUCION DEL PODER LEGISLATIVO EL 28 DE JUNIO DE 1966.  
"MENDIONDO, FRANCISCO DANIEL  ",26/04/1949,30/04/1952 ,26/04/1949,30/04/1952 ,CORRIENTES ,SIN ESPECIFICAR ,"DI GIROLAMO, ELENA  ",NINGUNA 
"MENDOZA , TORIBIO  ",30/04/1883,30/04/1892 ,30/04/1883,21/10/1891 ,SAN LUIS ,SIN ESPECIFICAR ,"MENDOZA , TORIBIO  ",FALLECE EN 1891.  
"MENDOZA, ERIBERTO  ",23/05/1892,30/04/1901 ,23/05/1892,30/04/1901 ,SAN LUIS ,SIN ESPECIFICAR ,"MENDOZA, ERIBERTO  ",REEMPLAZA A RAFAEL CORTES POR EXPIRACION DE MANDATO.  
"MENDOZA, ERIBERTO  ",01/05/1901,30/04/1910 ,01/05/1901,30/04/1910 ,SAN LUIS ,SIN ESPECIFICAR ,"MENDOZA, ERIBERTO  ",REELECTO.  
"MENDOZA, ERIBERTO  ",29/04/1910,30/04/1919 ,29/04/1910,30/04/1919 ,SAN LUIS ,SIN ESPECIFICAR ,"RODRIGUEZ SAA, ADOLFO  ",REELECTO.  
"MENEGHINI, JAVIER REYNALDO ",10/12/1995,09/12/2001 ,14/02/1996,09/12/2001 ,SANTIAGO DEL ESTERO ,UNIÓN CÍVICA RADICAL ,"ZAVALÍA, JOSÉ LUIS ",POR LA REFORMA CONSTITUCIONAL DE 1994 ES ELEGIDO TERCER SENADOR.  
"MENEM, CARLOS SAÚL ",10/12/2005,09/12/2011 ,10/12/2005,Sin Fecha ,LA RIOJA ,JUSTICIALISTA ,SENADOR EN EJERCICIO ,NINGUNA 
"MENEM, CARLOS SAÚL ",10/12/2011,09/12/2017 ,10/12/2011,Sin Fecha ,LA RIOJA ,ALIANZA FRENTE POPULAR RIOJANO ,,NINGUNA 
"MENEM, EDUARDO ",29/11/1983,09/12/1989 ,29/11/1983,09/12/1989 ,LA RIOJA ,JUSTICIALISTA ,"MENEM, EDUARDO ",NINGUNA 
"MENEM, EDUARDO ",06/12/1989,09/12/1998 ,06/12/1989,09/12/1998 ,LA RIOJA ,JUSTICIALISTA ,"MENEM, EDUARDO ",REELECTO.  
"MENEM, EDUARDO ",25/11/1998,09/12/2001 ,25/11/1998,09/12/2001 ,LA RIOJA ,JUSTICIALISTA ,"MENEM, EDUARDO ",REELECTO.  
"MENEM, EDUARDO ",10/12/2001,09/12/2005 ,10/12/2001,09/12/2005 ,LA RIOJA ,JUSTICIALISTA ,SENADOR EN EJERCICIO ,REELECTO.  
"MERA, MARIO RUBÉN ",09/12/2001,09/12/2007 ,05/03/2002,Sin Fecha ,SANTIAGO DEL ESTERO ,JUSTICIALISTA ,"RACHED, EMILIO ALBERTO ",REEMPLAZA POR RENUNCIA AL SENADOR JUAREZ.  
"MESTRE, RAMON JAVIER ",10/12/2009,09/12/2015 ,10/12/2009,09/12/2011 ,CÓRDOBA ,UNIÓN CÍVICA RADICAL ,,RENUNCIÓ POR DR-1367/11 A PARTIR DEL 9 DE DICIEMBRE DE 2011 PARA OCUPAR LA INTENDENCIA DE LA MUNICIPALIDAD DE LA CIUDAD DE CORDOBA  
"MIGUEL, PEDRO HONORIO  ",28/04/1961,30/04/1970 ,28/04/1961,06/09/1962 ,SANTIAGO DEL ESTERO ,SIN ESPECIFICAR ,DISOLUCION DEL P. LEGISLATIVO ,REEMPLAZA A CARLOS GOMEZ POR EXPIRACION DE MANDATO. DISOLUCION DEL PODER LEGISLATIVO EL 6 DE SEPTIEMBRE DE 1962.  
