"1983";"86";"Mario Luis Espada";"Unión Cívica Radical"
"1983";"87";"Jorge Eduardo Young";"Unión Cívica Radical"
"1983";"88";"Héctor Julio Etchemendy";"Unión Cívica Radical"
"1983";"89";"Luis David Celestino Lagomarsino";"Justicialista"
"1983";"90";"Juan Pedro Actis Caporale";"Unión Cívica Radical"
"1983";"91";"Hugo Gutierrez";"Unión Cívica Radical"
"1983";"92";"Eduardo Julio Vides";"Unión Cívica Radical"
"1983";"93";"Rafael Edgardo Roma";"Justicialista"
"1983";"94";"Hernán Saúl Esponda";"Unión Cívica Radical"
"1983";"95";"José Julio Garcia";"Justicialista"
"1983";"96";"Marcelo Patricio Gear";"Unión Cívica Radical"
"1983";"97";"Federico E Bolla";"Unión Cívica Radical"
"1983";"98";"Rolando Ernesto Maurel";"Unión Cívica Radical"
"1983";"99";"Francisco José Ferro";"Unión Cívica Radical"
"1983";"100";"Osvaldo Balbin";"Unión Cívica Radical"
"1983";"101";"Héctor Gustavo Menendez";"Unión Cívica Radical"
"1983";"102";"Julio César Rossi";"Unión Cívica Radical"
"1983";"103";"Teodoro Gerómino Dominguez";"Unión Cívica Radical"
"1983";"104";"Juan Carlos Marlats";"Unión Cívica Radical"
"1983";"105";"Alfredo Ramón Viviant";"Justicialista"
"1983";"106";"Melchor Angel Posse";"Unión Cívica Radical"
"1983";"107";"José María Diaz Bancalari";"Justicialista"
"1983";"108";"Guillermo Rubén Farabollini";"Unión Cívica Radical"
"1983";"109";"Carlos Alberto Mereles";"Justicialista"
"1983";"110";"Miguel Kevin Geoghegan";"Unión Cívica Radical"
"1983";"111";"Américo Alberto Reinoso";"Unión Cívica Radical"
"1983";"112";"Néstor José Vasquez";"Unión Cívica Radical"
"1983";"113";"Oscar Egidio Giordano";"Unión Cívica Radical"
"1983";"116";"Juan Ismael Ferrari";"Unión Cívica Radical"
"1983";"114";"Néstor Edgardo Catani";"Unión Cívica Radical"
"1983";"115";"Horacio Antonio Arrastua";"Unión Cívica Radical"
"1983";"117";"Jorge Roberto Foulkes";"Unión Cívica Radical"
"1983";"118";"Héctor Roberto Dattoli";"Unión Cívica Radical"
"1983";"121";"Oscar Enrique Estevez";"Unión Cívica Radical"
"1983";"122";"Jorge Alberto Sabbatini";"Unión Cívica Radical"
