item,itemLabel
http://www.wikidata.org/entity/Q3295527,Dardo Rocha
http://www.wikidata.org/entity/Q3297245,Hugo Moyano
http://www.wikidata.org/entity/Q3300069,Matías de Irigoyen
http://www.wikidata.org/entity/Q3311318,Luis Jiménez de Asúa
http://www.wikidata.org/entity/Q3314051,Miguel Estanislao Soler
http://www.wikidata.org/entity/Q3314977,Luis Seoane
http://www.wikidata.org/entity/Q3356959,Oscar Bidegain
http://www.wikidata.org/entity/Q3359999,Pablo Rodríguez
http://www.wikidata.org/entity/Q3362887,Mercedes Marcó del Pont
http://www.wikidata.org/entity/Q3393426,José Alonso
http://www.wikidata.org/entity/Q3395012,Elpidio Villaverde
http://www.wikidata.org/entity/Q3395167,Antonio Alonso Ríos
http://www.wikidata.org/entity/Q3395787,Guillermo Rawson
http://www.wikidata.org/entity/Q3417215,Rafael Bielsa
http://www.wikidata.org/entity/Q3437304,Robustiano Patrón Costas
http://www.wikidata.org/entity/Q3446603,Rubén Ramírez Lezcano
http://www.wikidata.org/entity/Q3449051,José Inocencio Arias
http://www.wikidata.org/entity/Q3479675,Sergio Massa
http://www.wikidata.org/entity/Q3514542,Vjekoslav Vrančić
http://www.wikidata.org/entity/Q3543869,Lisandro de la Torre
http://www.wikidata.org/entity/Q3566504,Washington Cataldi
http://www.wikidata.org/entity/Q3601307,Tomás Antonio Lezica
http://www.wikidata.org/entity/Q3608136,Alberto Balestrini
http://www.wikidata.org/entity/Q3619514,Antonio de Tomaso
http://www.wikidata.org/entity/Q3620346,Antonio Zolezzi
http://www.wikidata.org/entity/Q191014,María Estela Martínez de Perón
http://www.wikidata.org/entity/Q193062,Raúl Alfonsín
http://www.wikidata.org/entity/Q193672,Carlos Saavedra Lamas
http://www.wikidata.org/entity/Q196054,Benjamín Villafañe
http://www.wikidata.org/entity/Q215387,Luis María Vernet
http://www.wikidata.org/entity/Q226053,Félix Luna
http://www.wikidata.org/entity/Q254041,Domingo Faustino Sarmiento
http://www.wikidata.org/entity/Q267291,Graciela Fernández Meijide
http://www.wikidata.org/entity/Q270025,Elisa Carrió
http://www.wikidata.org/entity/Q270348,José Evaristo de Uriburu
http://www.wikidata.org/entity/Q270368,Arturo Umberto Ilia
http://www.wikidata.org/entity/Q270446,Carlos Pellegrini
http://www.wikidata.org/entity/Q280554,Martín Rodríguez
http://www.wikidata.org/entity/Q294578,Eduardo Duhalde
http://www.wikidata.org/entity/Q295007,Fernando de la Rúa
http://www.wikidata.org/entity/Q297134,Hipólito Yrigoyen
http://www.wikidata.org/entity/Q298430,Reynaldo Bignone
http://www.wikidata.org/entity/Q303615,Juan Martín de Pueyrredón
http://www.wikidata.org/entity/Q311436,Juan Manuel de Rosas
http://www.wikidata.org/entity/Q312358,Adolfo Rodríguez Saá
http://www.wikidata.org/entity/Q312505,Héctor Baldassi
http://www.wikidata.org/entity/Q170899,Néstor Kirchner
http://www.wikidata.org/entity/Q173238,Carlos Reutemann
http://www.wikidata.org/entity/Q176160,Carlos Soria
http://www.wikidata.org/entity/Q185107,Carlos Menem
http://www.wikidata.org/entity/Q188891,Bernardino Rivadavia
http://www.wikidata.org/entity/Q188974,Pedro Eugenio Aramburu
http://www.wikidata.org/entity/Q188985,Ramón S. Castillo
http://www.wikidata.org/entity/Q313996,Roberto Eduardo Viola
http://www.wikidata.org/entity/Q314362,Bartolomé Mitre
http://www.wikidata.org/entity/Q315507,Luishito Purrum
http://www.wikidata.org/entity/Q321086,José Arce
http://www.wikidata.org/entity/Q321110,Hugo Wast
http://www.wikidata.org/entity/Q323162,Luis D'Elía
http://www.wikidata.org/entity/Q325762,Manuel Gutiérrez de la Concha e Irigoyen
http://www.wikidata.org/entity/Q336226,Eduardo Camaño
http://www.wikidata.org/entity/Q336247,Justo José de Urquiza
http://www.wikidata.org/entity/Q346658,Arturo Frondizi
http://www.wikidata.org/entity/Q349261,Raúl Alberto Lastiri
http://www.wikidata.org/entity/Q1331,Manuel Blanco Encalada
http://www.wikidata.org/entity/Q5809,"Ernesto ""Che"" Guevara"
http://www.wikidata.org/entity/Q12341,Roberto Noble
http://www.wikidata.org/entity/Q33051,Saturnino Laspiur
http://www.wikidata.org/entity/Q40649,Cristina Fernández de Kirchner
http://www.wikidata.org/entity/Q40933,Eva Perón
http://www.wikidata.org/entity/Q43570,Manuel José Gómez Rufino
http://www.wikidata.org/entity/Q66232,Ludolf von Alvensleben
http://www.wikidata.org/entity/Q75076,Santiago Llaver
http://www.wikidata.org/entity/Q75853,Jorge Rafael Videla
http://www.wikidata.org/entity/Q116489,Gerónimo Arnedo Álvarez
http://www.wikidata.org/entity/Q772152,Sabá H. Sueyro
http://www.wikidata.org/entity/Q832085,Miguel Cané
http://www.wikidata.org/entity/Q908305,Domingo Cavallo
http://www.wikidata.org/entity/Q919485,José Moldes
http://www.wikidata.org/entity/Q925188,Ricardo López Jordán
http://www.wikidata.org/entity/Q927664,Manuel de Sarratea
http://www.wikidata.org/entity/Q927955,Feliciano Antonio Chiclana
http://www.wikidata.org/entity/Q929237,Lucas González
http://www.wikidata.org/entity/Q932528,Encarnación Ezcurra
http://www.wikidata.org/entity/Q939324,Gustavo Rearte
http://www.wikidata.org/entity/Q940617,Homero Manzi
http://www.wikidata.org/entity/Q941258,Ginés González García
http://www.wikidata.org/entity/Q943389,José Carlos Martínez
http://www.wikidata.org/entity/Q944434,Ramón Suárez Picallo
http://www.wikidata.org/entity/Q946295,Víctor Martínez
http://www.wikidata.org/entity/Q957748,Ricardo López Murphy
http://www.wikidata.org/entity/Q959393,Carlos Raúl Contín
http://www.wikidata.org/entity/Q959624,José Rondeau
http://www.wikidata.org/entity/Q959875,Héctor Tizón
http://www.wikidata.org/entity/Q960024,Alberto Manuel Campos
http://www.wikidata.org/entity/Q960163,Juan José Paso
http://www.wikidata.org/entity/Q960240,Alberto Prebisch
http://www.wikidata.org/entity/Q962824,Carlos Juárez
http://www.wikidata.org/entity/Q963100,Florencio Randazzo
http://www.wikidata.org/entity/Q963284,Jorge Telerman
http://www.wikidata.org/entity/Q981624,Hermes Binner
http://www.wikidata.org/entity/Q2698196,Antonio González Balcarce
http://www.wikidata.org/entity/Q2760059,Pascual Echagüe
http://www.wikidata.org/entity/Q2831795,Alberto María Fonrouge
http://www.wikidata.org/entity/Q2831838,Alberto Teisseire
http://www.wikidata.org/entity/Q2834915,Manuel D. Pizarro
http://www.wikidata.org/entity/Q2835582,José María Gutiérrez
http://www.wikidata.org/entity/Q2836121,Nora Ginzburg
http://www.wikidata.org/entity/Q2836645,Pablo Tschirsch
http://www.wikidata.org/entity/Q2836761,Alicia Castro
http://www.wikidata.org/entity/Q2841182,Mario Cafiero
http://www.wikidata.org/entity/Q2841264,Emilio Bunge
http://www.wikidata.org/entity/Q2841276,Isaac Chavarría
http://www.wikidata.org/entity/Q2843155,Carlos Kunkel
http://www.wikidata.org/entity/Q2843680,Tomás Arias
http://www.wikidata.org/entity/Q2843714,Horacio Rodríguez Larreta
http://www.wikidata.org/entity/Q2843919,Alberto Icare
http://www.wikidata.org/entity/Q2844077,Mónica Peralta
http://www.wikidata.org/entity/Q2857264,Antonio Domingo Bussi
http://www.wikidata.org/entity/Q2857525,Antonio Álvarez Jonte
http://www.wikidata.org/entity/Q2876074,Francisco J. Ortiz
http://www.wikidata.org/entity/Q2876424,Francisco Doblas
http://www.wikidata.org/entity/Q2879101,Eduardo Macaluse
http://www.wikidata.org/entity/Q2880118,Alfredo Palacios
http://www.wikidata.org/entity/Q2880838,Jorge Enea Spilimbergo
http://www.wikidata.org/entity/Q2881050,José Mouso
http://www.wikidata.org/entity/Q2881235,Tomás Lafuente
http://www.wikidata.org/entity/Q2881349,Plácido Fernández Maradona
http://www.wikidata.org/entity/Q2881649,Horacio Ramiro González
http://www.wikidata.org/entity/Q2882080,Félix Gibbs
http://www.wikidata.org/entity/Q2882274,José Bernardo Iturraspe
http://www.wikidata.org/entity/Q2883137,Zoilo Concha
http://www.wikidata.org/entity/Q2885126,Juan Alejandro Borchex
http://www.wikidata.org/entity/Q2885190,Atanasio Gutiérrez
http://www.wikidata.org/entity/Q2885579,Jacinto Álvarez
http://www.wikidata.org/entity/Q2888868,Melitón Córdoba
http://www.wikidata.org/entity/Q2889273,Miguel Ángel Pesce
http://www.wikidata.org/entity/Q2889825,Alfredo César Meckievi
http://www.wikidata.org/entity/Q2892656,Raúl Alejandro Apold
http://www.wikidata.org/entity/Q1984228,Rubén Oscar Glaria
http://www.wikidata.org/entity/Q1997520,Victorio Codovilla
http://www.wikidata.org/entity/Q2011940,Adolfo Alsina
http://www.wikidata.org/entity/Q2066325,Martín de Álzaga
http://www.wikidata.org/entity/Q2075761,Manuel Moreno
http://www.wikidata.org/entity/Q2126959,Rafael Lascalea
http://www.wikidata.org/entity/Q2130489,Ramón Javier Mestre
http://www.wikidata.org/entity/Q2133298,José Ignacio García Hamilton
http://www.wikidata.org/entity/Q2144730,René Lawson
http://www.wikidata.org/entity/Q2148702,Ricardo Obregón Cano
http://www.wikidata.org/entity/Q2159496,Roberto Etchepareborda
http://www.wikidata.org/entity/Q2228648,Saúl Ubaldini
http://www.wikidata.org/entity/Q2269490,Juan Ramón González de Balcarce
http://www.wikidata.org/entity/Q2269506,Manuel Vicente Maza
http://www.wikidata.org/entity/Q2271483,Manuel Quintana
http://www.wikidata.org/entity/Q2286672,Silvia Augsburger
http://www.wikidata.org/entity/Q2324263,Abel Posse
http://www.wikidata.org/entity/Q2342815,Gervasio Antonio de Posadas
http://www.wikidata.org/entity/Q2347235,Antonio Cafiero
http://www.wikidata.org/entity/Q2361877,Cornelio Saavedra
http://www.wikidata.org/entity/Q2429045,Victoria Donda
http://www.wikidata.org/entity/Q2443800,Torcuato de Alvear
http://www.wikidata.org/entity/Q2482220,Francisco Ramírez
http://www.wikidata.org/entity/Q2483428,Estanislao López
http://www.wikidata.org/entity/Q2509053,Juan Pedro Aguirre
http://www.wikidata.org/entity/Q2511066,Ignacio Álvarez Thomas
http://www.wikidata.org/entity/Q2521958,Vicente Gregorio Quesada
http://www.wikidata.org/entity/Q2528692,Juan Lavalle
http://www.wikidata.org/entity/Q2562334,Manuel Dorrego
http://www.wikidata.org/entity/Q2607643,Hipólito Vieytes
http://www.wikidata.org/entity/Q2617365,Nahuel Moreno
http://www.wikidata.org/entity/Q2617461,Juan Manuel Abal Medina
http://www.wikidata.org/entity/Q2621980,Leandro N. Alem
http://www.wikidata.org/entity/Q2642828,Alberto Fernández
http://www.wikidata.org/entity/Q4533357,Patricio Echegaray
http://www.wikidata.org/entity/Q4678262,Ada Itúrrez de Cappellini
http://www.wikidata.org/entity/Q4678283,Ada Mercedes Maza
http://www.wikidata.org/entity/Q4678535,Adalbert Krieger Vasena
http://www.wikidata.org/entity/Q4684272,Adolfo Rodríguez Saá
http://www.wikidata.org/entity/Q4684279,Adolfo Sigwald
http://www.wikidata.org/entity/Q4685482,Adriana Bortolozzi
http://www.wikidata.org/entity/Q4712180,Alberto Rodríguez Saá
http://www.wikidata.org/entity/Q4712205,Alberto Sileoni
http://www.wikidata.org/entity/Q4714481,Alejandro Armendáriz
http://www.wikidata.org/entity/Q4714583,Alejandro Korn
http://www.wikidata.org/entity/Q4722088,Alfonso Prat Gay
http://www.wikidata.org/entity/Q4723706,Alfredo Avelín
http://www.wikidata.org/entity/Q4723723,Alfredo Bravo
http://www.wikidata.org/entity/Q4723820,Alfredo Martínez
http://www.wikidata.org/entity/Q4726283,Alicia Mastandrea
http://www.wikidata.org/entity/Q4749645,Américo Ghioldi
http://www.wikidata.org/entity/Q4750337,Ana Corradi
http://www.wikidata.org/entity/Q4760196,Andrés Freire
http://www.wikidata.org/entity/Q4776451,Antonio Bermejo
http://www.wikidata.org/entity/Q4776992,Antonio Sáenz
http://www.wikidata.org/entity/Q4790450,Ariel Riani
http://www.wikidata.org/entity/Q4801718,Arturo Colombi
http://www.wikidata.org/entity/Q4801757,Arturo Lafalla
http://www.wikidata.org/entity/Q4801813,Arturo Vera
http://www.wikidata.org/entity/Q4821334,Augusto Timoteo Vandor
http://www.wikidata.org/entity/Q4837851,Lucía Corpacci
http://www.wikidata.org/entity/Q4837917,Jorge Capitanich
http://www.wikidata.org/entity/Q4837952,Martín Buzzi
http://www.wikidata.org/entity/Q4838027,Ricardo Colombi
http://www.wikidata.org/entity/Q4838093,Sergio Urribarri
http://www.wikidata.org/entity/Q4838179,Eduardo Fellner
http://www.wikidata.org/entity/Q4838357,Oscar Mario Jorge
http://www.wikidata.org/entity/Q4838458,Maurice Closs
http://www.wikidata.org/entity/Q4838522,Claudio Poggi
http://www.wikidata.org/entity/Q4838621,Daniel Peralta
http://www.wikidata.org/entity/Q4838698,Gerardo Zamora
http://www.wikidata.org/entity/Q4838844,Fabiana Ríos
http://www.wikidata.org/entity/Q4877270,Beatriz Rojkés de Alperovich
http://www.wikidata.org/entity/Q4892762,Bernabé Piedrabuena
http://www.wikidata.org/entity/Q4893883,Bernardo Bas
http://www.wikidata.org/entity/Q4924764,Blanca Osuna
http://www.wikidata.org/entity/Q4931587,Oreste Arbo y Blanco
http://www.wikidata.org/entity/Q4933386,Felipe Gallardo
http://www.wikidata.org/entity/Q4942010,Bonifacio del Carril
http://www.wikidata.org/entity/Q5041733,Carlos Alfredo D'Amico
http://www.wikidata.org/entity/Q5041801,Carlos Auyero
http://www.wikidata.org/entity/Q5041825,Carlos Becerra
http://www.wikidata.org/entity/Q5041908,Carlos Casares (gobernador)
http://www.wikidata.org/entity/Q5041910,Carlos Castagneto
http://www.wikidata.org/entity/Q5041983,Carlos Delcio Funes
http://www.wikidata.org/entity/Q5042165,Carlos Salomón Heller
http://www.wikidata.org/entity/Q5042195,Carlos Humberto Perette
http://www.wikidata.org/entity/Q5042238,Carlos José Caballero
http://www.wikidata.org/entity/Q5042309,Carlos Mac Allister
http://www.wikidata.org/entity/Q5042493,Carlos Petroni
http://www.wikidata.org/entity/Q5042591,Carlos Rossi
http://www.wikidata.org/entity/Q5042593,Carlos Rovira
http://www.wikidata.org/entity/Q5042622,Carlos Sancho
http://www.wikidata.org/entity/Q5042644,Carlos Serrey
http://www.wikidata.org/entity/Q5042686,Carlos Sylvestre Begnis
http://www.wikidata.org/entity/Q5042708,Carlos Tomada
http://www.wikidata.org/entity/Q5042759,Carlos Verna
http://www.wikidata.org/entity/Q5042783,Carlos Washington Lencinas
http://www.wikidata.org/entity/Q5043383,Carmelo Lauría
http://www.wikidata.org/entity/Q5058463,Celso Jaque
http://www.wikidata.org/entity/Q5109408,Christian Castillo
http://www.wikidata.org/entity/Q5129431,Claudio del Plá
http://www.wikidata.org/entity/Q5186335,Cristina Cremer de Busti
http://www.wikidata.org/entity/Q5202553,César Gioja
http://www.wikidata.org/entity/Q5202568,César Jaroslavsky
http://www.wikidata.org/entity/Q5202590,César Mayoral
http://www.wikidata.org/entity/Q5217771,Daniel Katz
http://www.wikidata.org/entity/Q5218500,Daniel Pérsico
http://www.wikidata.org/entity/Q5253706,Delfín Gallo
http://www.wikidata.org/entity/Q5253860,Delia Bisutti
http://www.wikidata.org/entity/Q5253884,Delia Pinchetti de Sierra Morales
http://www.wikidata.org/entity/Q5271125,Diana Conti
http://www.wikidata.org/entity/Q5274589,Diego Bossio
http://www.wikidata.org/entity/Q5274808,Diego Santilli
http://www.wikidata.org/entity/Q5290356,Domingo Crespo
http://www.wikidata.org/entity/Q5290358,Domingo Cullen
http://www.wikidata.org/entity/Q5290393,Domingo Mercante
http://www.wikidata.org/entity/Q5312643,Duilio Brunello
http://www.wikidata.org/entity/Q5320081,Dámaso Centeno
http://www.wikidata.org/entity/Q5340508,Eduardo Angeloz
http://www.wikidata.org/entity/Q5340656,Eduardo Laurencena
http://www.wikidata.org/entity/Q5340694,Eduardo Mendoza Goiticoa
http://www.wikidata.org/entity/Q5340699,Eduardo Mondino
http://www.wikidata.org/entity/Q5340738,Eduardo Pérez Bulnes
http://www.wikidata.org/entity/Q5358985,Elena Corregido
http://www.wikidata.org/entity/Q5366487,Enrique Martínez
http://www.wikidata.org/entity/Q5367308,Elpidio González
http://www.wikidata.org/entity/Q5368127,Elvira Rawson
http://www.wikidata.org/entity/Q5368671,Elías Sapag
http://www.wikidata.org/entity/Q5371931,Emilio Rached
http://www.wikidata.org/entity/Q5371946,Emilio Solanet
http://www.wikidata.org/entity/Q5379652,Enrique Campino
http://www.wikidata.org/entity/Q5379731,Enrique Candioti
http://www.wikidata.org/entity/Q5379768,Enrique Mosca
http://www.wikidata.org/entity/Q5427799,Fabio Biancalani
http://www.wikidata.org/entity/Q5441749,Feliciano de la Mota Botello
http://www.wikidata.org/entity/Q5442004,Felipe Llavallol
http://www.wikidata.org/entity/Q5442052,Felipe Sapag
http://www.wikidata.org/entity/Q5445017,Fernando de la Mora
http://www.wikidata.org/entity/Q5461936,Floro Eleuterio Bogado
http://www.wikidata.org/entity/Q5474594,Julián Domínguez
http://www.wikidata.org/entity/Q5475573,Blas Brisoli
http://www.wikidata.org/entity/Q5475638,Cipriano Reyes
http://www.wikidata.org/entity/Q5478038,Horacio Vaquie
http://www.wikidata.org/entity/Q5479367,Joaquín Penina
http://www.wikidata.org/entity/Q5481926,Nicolás Severo de Isasmendi
http://www.wikidata.org/entity/Q5482008,Marco Avellaneda
http://www.wikidata.org/entity/Q5483062,Francisco A. Barroetaveña
http://www.wikidata.org/entity/Q5483750,Cleto Peña
http://www.wikidata.org/entity/Q5483783,Gerardo Morales
http://www.wikidata.org/entity/Q5483821,Francisco Pérez (político)
http://www.wikidata.org/entity/Q5483842,Francisco Rabanal
http://www.wikidata.org/entity/Q5484012,Francisco Uriburu
http://www.wikidata.org/entity/Q5485251,Alberto Gollán
http://www.wikidata.org/entity/Q5489320,Luis Falco
http://www.wikidata.org/entity/Q5490123,Matías Sánchez Sorondo
http://www.wikidata.org/entity/Q5490536,José María Rolón
http://www.wikidata.org/entity/Q5490895,Raúl Borrás
http://www.wikidata.org/entity/Q5491422,Mauricio Daract
http://www.wikidata.org/entity/Q5491601,Francisco Antonio de Escalada
http://www.wikidata.org/entity/Q5491915,Jorge Cepernic
http://www.wikidata.org/entity/Q5493285,Alexis Latendorf
http://www.wikidata.org/entity/Q5511662,Félix de la Peña
http://www.wikidata.org/entity/Q5515935,Gabriela Arroyo
http://www.wikidata.org/entity/Q5548549,Juan Félix Cafferatta
http://www.wikidata.org/entity/Q5549182,Raúl Castells
http://www.wikidata.org/entity/Q5550217,Teodoro García
http://www.wikidata.org/entity/Q5551946,Eriberto Mendoza
http://www.wikidata.org/entity/Q5553543,Gerónimo Vargas Aignasse
http://www.wikidata.org/entity/Q5559260,Eduardo Crespi
http://www.wikidata.org/entity/Q5559402,Federico Martínez de Hoz
http://www.wikidata.org/entity/Q5559598,Ricardo Joaquín Durand
http://www.wikidata.org/entity/Q5574311,Rafael Pascual
